comment_id,video_id,comment_text,comment_date,reply_count,like_count,is_spam_suspected
Ugy74VVSg40roavnif54AaABAg,Q9FjwzKFPuM,Any opinions and advisement are appreciated.',2021-06-14,2,1,false
UgyYwXJ_Exe1rM_KtnR4AaABAg,N97MhZEp2UQ,tldr : to be in management role you don't need to have hard core knowledge and experience. You just need to know how to sell yourself.,2021-04-12,0,0,false
Ugx4N1A_-VAyO85syVl4AaABAg,mEZ1Hj5yQ-8,The only thing my portfolio is not doing is updating my image there,2021-04-12,0,0,false
Ugw04dee9SRL6vOFZNd4AaABAg,Ip50cXvpWY4,I dont understand why useless stuff has more fame then Useful stuff.,2021-04-12,1,2,false
Ugzc8GZGUFUh-5B2JPZ4AaABAg,EMq4PH7PCeA,Just found this channel. And I have a dilemma I hope you could help with. I'm in cybersecurity and see how data science is starting to play a large role in threat detection. Can you do a video on that?,2021-04-12,1,1,false
UgzSFwf2dWEfSYarP314AaABAg,sHRq-LshG3U,Done Voting for you !!! 🙌🙌,2021-04-12,1,1,false
UgxJHmprn1Nc5gWSL4Z4AaABAg,sHRq-LshG3U,Brutally Honest video. Brutal but Honest. Thanks Ken for showing the reality . However I will still follow this path. When I started this journey I promised myself that I will do whatever it takes.,2021-04-12,1,2,false
UgwnlZzjyEVgeHZh7lt4AaABAg,sHRq-LshG3U,I got lucky and in early since I studied stats like 15 years ago and did lots of programming projects on the side. Just sort of feel into it... These days I wouldn't aim for being a ds but instead data engineering or BI / analyst stuff. Go in through the back door,2021-04-12,2,2,false
Ugz2Pc8KdlFg8MQKMQx4AaABAg,DM1eE_Coh6g,thanks for the very helpful and useful tips :),2021-08-13,1,1,false
UgyruAElUVum36uHyEJ4AaABAg,VvnOXDCVm8k,The model accuracy part was the most relatable XD,2021-08-13,1,9,false
UgywjyOY_ODyv8Ea6Rh4AaABAg,VvnOXDCVm8k,KEN JEE sir ! can you please do a sports analytics project video ! PLZZZZZZZZZ,2021-08-13,2,3,false
Ugxqt7R8rqkwmXUoHL54AaABAg,41Clrh6nv1s,Another Awesome video!,2021-05-07,1,1,false
UgyDyDT5tvjyH5Xdf9x4AaABAg,OtqQYqRNDGI,He is so passionate about data science that he started crying.',2021-05-07,1,1,false
Ugwxc4HN7hvbNysPM5x4AaABAg,XjC3FPL-S78,Insightful. Thank you very much!,2021-05-07,1,1,false
Ugyuf4yRX09KLxlf-OJ4AaABAg,hOUrxTeBJQc,Should I focus more on oop? To be a data scientist,2021-05-07,1,1,false
UgykHYAMoACl_yjhiOd4AaABAg,hOUrxTeBJQc,getting to see this video at the start of my data science journey ...  this is certainly making a lot of sense now,2021-05-07,1,1,false
UgxKAuR_ZmDmFWkRNlh4AaABAg,n7kjelw9s2w,Vomit,2021-05-07,0,1,false
Ugy_4jQZ_tnssR3vHJd4AaABAg,n7kjelw9s2w,Vomit,2021-05-07,0,1,false
Ugy7OCAFNstrgSmoiA54AaABAg,n7kjelw9s2w,Completely agree 🙌 Kaggle helped me alot through my learning of data science. It's very sorted and easy to understand...🤘,2021-05-07,1,10,false
UgzhKFurWdOVJ2Z_LKp4AaABAg,n7kjelw9s2w,Yess kaggle is best place for resources but sometimes the data set way to pre made,2021-05-07,1,2,false
Ugy831sGQ_hgVWzoL7p4AaABAg,n7kjelw9s2w,Such a useful resource for data scientists 💯',2021-05-07,2,7,false
UgzSxiJDE4GLxLEeLV14AaABAg,n7kjelw9s2w,Kaggle is a great place to learn. I love the free tutorials they create.,2021-05-07,2,3,false
Ugx8pvoHFDfRHRE5ZXN4AaABAg,n7kjelw9s2w,I love kaggle and frequently recommend it but i wish this video was easier to see.  The bits of you are super dark - and do people really use kaggle on a phone?,2021-05-07,2,1,false
Ugx-3Fj4nHlG7d4N_Qd4AaABAg,n7kjelw9s2w,Not bad at all for an algorithm-generated name! I would have never known if not for this video.,2021-05-07,2,14,false
UgxSzC240eKGJ-fIWO94AaABAg,n7kjelw9s2w,Can you please make a video on how to fine-tune GPT for language Modeling (i.e. for next word prediction) ?',2021-05-07,3,2,false
UgyL3HCDacPYNFVhwYt4AaABAg,vy-R4oUZaC8,Hi Ken :) Not sure if you'll see this comment because YouTube keeps deleting it. I have just finished the project and deployed it :__Ibraheem761/Moroccan-Pastries-Classifier__ ( This is the link to the github repo - hope the youtube algorithm accepts it now ) .. Thank u for always being here for us,2021-05-07,1,1,false
Ugw4_k1_Cdbz6mAfNa94AaABAg,GO420aMtHfk,I love this content,2021-01-17,1,1,false
UgwIfhs0nZz3_a-GamN4AaABAg,n3vw0M5RrPU,I want to enter in data science because I love calculus and stathistics.,2021-01-17,1,1,false
UgwyZlSOSixwH12sHpx4AaABAg,4OZip0cgOho,Gilfoyle had plastic surgery and made a youtube video,2021-01-17,1,1,false
UgzYvewskIBXfdzW-TN4AaABAg,GO420aMtHfk,Beginner projects needed please... Thank you,2021-01-17,1,1,false
Ugz8CMjOuLb6N8lAmvp4AaABAg,GO420aMtHfk,Plot.ly really nice demonstrating questions in the EDA part and presenting dataset constraints,2021-01-17,1,1,false
UgxtqbXeZXvDXVWK3Yh4AaABAg,GmW4F6MHqqs,please can you make a video on git bash and how to connect it to GitHub?',2021-01-17,2,1,false
UgwPFQb4BJqe3cozxkx4AaABAg,KQ80oD_boBM,This is amazing and I thing I am learning a lot with this series and hope make my own end to end project one day💯 just waiting for damn ideas to come to my mind😂,2021-01-17,2,2,false
UgwOWItsS8c5Y30-aqR4AaABAg,nUOh_lDMHOU,I want to ask one question so this part of series where I get struck because I don't understand it so is it okay that I like follow step by step this video do that ...I mean I still did a project but literally must have copied this thing so I am not sure what's your point view on this?🥺😅,2021-01-17,2,2,false
Ugwuh0d448D5Y593K_N4AaABAg,GO420aMtHfk,These are some very amazing charts and I not used them before so looks like we have something new to look or do 💯💯,2021-01-17,1,2,false
UgzG3_uDj4QBnrojRCd4AaABAg,r-DR9HBaipU,Much appreciated.',2021-01-17,1,4,false
