video_surrogate_key,video_id,video_title,video_publish_date,views,watch_time_hours,watch_time_minutes,avg_view_duration_seconds,avg_view_percentage,likes,comments_added,estimated_revenue_usd
b2fdf6e4-921b-4782-b3bd-25937f3c4603,NCyPY-jfb3I,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23 00:00:00 UTC,11724,812.1108,48726.65,249,25.21,426,48,55.926
c1b3ea65-84e9-403e-9818-7a9b3a94f7e5,BZFfNwj7JhE,Different Data Science Roles Explained (by a Data Scientist),2020-05-22 00:00:00 UTC,44974,1265.9731,75958.39,101,34.82,1589,82,276.316
00edc24e-64b3-40c1-85f9-bf7d844a401c,RAMxzqSMDKE,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17 00:00:00 UTC,2998,209.5669,12574.01,251,25.19,132,17,7.227
327b1667-8b91-4164-90f3-123561f94e48,KQ80oD_boBM,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08 00:00:00 UTC,14711,1530.1763,91810.58,374,17.09,557,59,97.815
f8129996-c89e-4183-be5a-613ab3c6f6df,B1g_yMKpdwo,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29 00:00:00 UTC,4227,261.5042,15690.25,222,26.48,176,24,11.945
9b897a0a-9b09-45fc-b992-ef0abd46012b,XjC3FPL-S78,Why You're Struggling to Learn Data Science,2020-06-12 00:00:00 UTC,14552,700.5087,42030.52,173,46.21,1000,82,45.465
a70031e1-b16f-4a2b-9616-cb8de67ad3f7,2qVWurPFwfc,Is Data Science Dying?,2021-11-19 00:00:00 UTC,70043,3736.819,224209.14,192,34.98,2378,148,368.53
2fd2c002-658b-4d38-ac0d-28517278952d,Z_KFh-HqaBA,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14 00:00:00 UTC,23397,1553.1482,93188.89,238,44.42,999,34,118.739
e02fe5ad-1dee-4c2a-8ade-8c49ae6c5faa,Ip50cXvpWY4,The Best Free Data Science Courses Nobody is Talking About,2020-03-09 00:00:00 UTC,297222,10465.0467,627902.8,126,33.8,19464,294,1217.046
e200829f-45dc-4d61-9d17-525a2bff123e,3Mm1U1CbzNw,Is Data Science Right For You?,2019-08-18 00:00:00 UTC,44051,1546.5641,92793.85,126,32.24,1018,57,272.051
6ea99cf3-1440-4e67-ac3a-b4ce3e5e3d37,qUK5Vk4NvBw,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12 00:00:00 UTC,2038,165.5004,9930.02,292,7.83,133,4,6.269
62adacc4-ed8e-4718-bcd6-a74945c2d13f,pPfw2fzwNiM,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19 00:00:00 UTC,9370,369.7456,22184.74,142,26.07,260,48,51.333
